timestamp,price_usd
1701747918,41790
1701748075,41764
1701748135,41797
1701748195,41742
1701748255,41742
1701748315,41764
1701748375,41742
1701748435,41792
1701748496,41794
1701748556,41794
1701748616,41794
1701748676,41792
1701748737,41794
1701748797,41807
1701748858,41807
1701748918,41772
1701748978,41772
1701749038,41807
1701749098,41828
1701749159,41814
1701749219,41827
1701749279,41814
1701749339,41814
1701749399,41812
1701749459,41812
1701749519,41814
1701749580,41814
1701749640,41807
1701749700,41807
1701749760,41807
1701749820,41750
1701749880,41763
1701749941,41753
1701750001,41753
1701750061,41750
1701750121,41759
1701750181,41759
1701750241,41796
1701750301,41796
1701750361,41796
1701750422,41803
1701750482,41735
1701750542,41735
1701750602,41735
1701750662,41772
1701750722,41772
1701750782,41738
1701750843,41738
1701750903,41772
1701750963,41738
1701751023,41764
1701751083,41738
1701751143,41766
1701751203,41784
1701751264,41766
1701751324,41766
1701751384,41784
1701751444,41787
1701751504,41787
1701751564,41781
1701751624,41781
1701751684,41787
1701751745,41787
1701751805,41815
1701751865,41797
1701751925,41815
1701751985,41805
1701752045,41797
