0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.02226,0.02227,0.02227,0.02227,0.02227,0.02227,0.02235,0.02236,0.02236,0.02237,0.02236,0.02236,0.02237,0.02239,0.02241,0.02244,0.02244,0.02241,0.02241,0.0224,0.0224,0.02238,0.02237,0.02238,0.02244,0.02244,0.02244,0.02247,0.02244,0.02244,0.02246,0.02257,0.02261,0.0227,0.02283,0.02261,0.0227,0.02261,0.02294,0.02291,0.02292,0.02294,0.02294,0.02291,0.02294,0.02315,0.02315,0.02314,0.02314,0.02305,0.02314,0.02308,0.02312,0.02312,0.02312,0.02312,0.02312,0.02333,0.02333,0.02341
0.11448,0.11448,0.11484,0.11444,0.11416,0.11432,0.11432,0.11416,0.11416,0.11499,0.11499,0.11514,0.11504,0.11514,0.11511,0.11511,0.11511,0.11519,0.11511,0.11511,0.11518,0.11521,0.11513,0.11508,0.11516,0.11513,0.11508,0.11513,0.11533,0.11534,0.11554,0.11558,0.11533,0.11534,0.11558,0.11552,0.11595,0.11597,0.11597,0.11586,0.11597,0.11598,0.11589,0.11579,0.11579,0.11579,0.11589,0.11574,0.11574,0.11585,0.11572,0.11585,0.11568,0.11568,0.11568,0.11565,0.11568,0.11547,0.11565,0.11541
0.02765,0.02756,0.02765,0.02765,0.02761,0.02761,0.02761,0.02762,0.02762,0.02761,0.02763,0.02763,0.0277,0.02769,0.0277,0.02753,0.02751,0.02746,0.02751,0.02753,0.02751,0.02748,0.02747,0.02747,0.02748,0.02747,0.02747,0.02747,0.02747,0.02754,0.02767,0.02766,0.02754,0.02766,0.02755,0.02755,0.02766,0.02753,0.02753,0.02753,0.02759,0.02759,0.02759,0.02758,0.02758,0.02761,0.02758,0.02758,0.02763,0.02763,0.02763,0.02763,0.02763,0.02762,0.02763,0.02763,0.02763,0.02763,0.02763,0.02764
0.02778,0.02785,0.02785,0.02785,0.02793,0.02785,0.02785,0.02785,0.02785,0.02793,0.02773,0.02774,0.02776,0.02776,0.02774,0.02773,0.02798,0.02798,0.02798,0.02796,0.02796,0.02796,0.02794,0.02794,0.02796,0.02792,0.02792,0.02792,0.02792,0.02792,0.02792,0.02794,0.02792,0.02794,0.02805,0.02808,0.02792,0.02805,0.02808,0.02805,0.02804,0.02805,0.02798,0.02805,0.02804,0.02801,0.02801,0.02801,0.02801,0.02801,0.028,0.02801,0.02801,0.02801,0.02803,0.02801,0.02778,0.02803,0.02776,0.02776
0.06928,0.06906,0.06906,0.06906,0.06906,0.06906,0.06908,0.06908,0.0691,0.06908,0.06912,0.0688,0.0688,0.0688,0.0688,0.0688,0.06852,0.06852,0.06849,0.0685,0.06852,0.0685,0.0685,0.0685,0.06848,0.06857,0.06858,0.06858,0.06848,0.06857,0.06878,0.06879,0.06879,0.06882,0.06882,0.06878,0.06879,0.06882,0.06882,0.06883,0.06877,0.06877,0.06883,0.06874,0.06883,0.0685,0.0685,0.0685,0.06852,0.06852,0.06849,0.06849,0.06863,0.06849,0.06863,0.06863,0.06863,0.06859,0.06863,0.0686
20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.54,20.55,20.57,20.57,20.54,20.55,20.56,20.56,20.56,20.57,20.57,20.56,20.56,20.57,20.57,20.54,20.54,20.52,20.54,20.49,20.54,20.45,20.45,20.45,20.46,20.46,20.52,20.52,20.53,20.52,20.53,20.53,20.53,20.52,20.53,20.53,20.53,20.53,20.53,20.53,20.49,20.49,20.5,20.51,20.49,20.51,20.52,20.51,20.52,20.52,20.53,20.53,20.53
0.04163,0.04163,0.0416,0.04171,0.04173,0.04175,0.04171,0.04175,0.04172,0.04175,0.04175,0.04161,0.04172,0.04162,0.04162,0.04162,0.04169,0.04171,0.04171,0.04171,0.04196,0.04197,0.04197,0.04197,0.042,0.04197,0.04203,0.04207,0.04207,0.04217,0.04203,0.04217,0.04217,0.04206,0.04203,0.04203,0.04217,0.04202,0.04203,0.04217,0.04218,0.04202,0.04213,0.04217,0.04189,0.04189,0.04213,0.04191,0.04195,0.04195,0.04199,0.04191,0.04203,0.04206,0.04206,0.04203,0.04208,0.04208,0.04206,0.04206
0.04429,0.04431,0.04434,0.04434,0.04434,0.04417,0.04417,0.04403,0.04417,0.04407,0.04409,0.04407,0.04403,0.04433,0.04433,0.0444,0.04433,0.04439,0.04448,0.0444,0.0444,0.04439,0.0446,0.0446,0.0446,0.04487,0.04487,0.0446,0.04477,0.04487,0.04484,0.04484,0.04483,0.0448,0.04484,0.04476,0.04476,0.04496,0.04476,0.04495,0.04496,0.04496,0.04496,0.04495,0.04494,0.04494,0.04502,0.04497,0.04497,0.04502,0.04483,0.04483,0.04483,0.04488,0.04492,0.0449,0.04488,0.04492,0.04488,0.0449
0.23848,0.23833,0.23822,0.2381,0.23808,0.23833,0.2381,0.23808,0.23806,0.23799,0.23806,0.23806,0.23806,0.23799,0.23799,0.23773,0.23807,0.23819,0.23841,0.23841,0.23841,0.23845,0.23819,0.23841,0.23845,0.23886,0.23934,0.23925,0.23902,0.23896,0.23896,0.23896,0.23841,0.23825,0.2381,0.23814,0.23814,0.23825,0.23814,0.23808,0.2383,0.23808,0.23808,0.2389,0.23892,0.239,0.23905,0.23892,0.23892,0.23905,0.23927,0.23922,0.23929,0.23964,0.23964,0.23929,0.23929,0.23953,0.23947,0.23954
64.89,65.15,64.93,64.89,64.65,64.64,64.64,64.64,64.64,64.65,64.74,64.75,64.74,64.74,64.78,64.75,64.78,64.83,64.82,64.82,64.83,64.83,64.83,64.86,64.88,64.88,64.88,64.97,64.97,64.88,65.13,64.97,65.18,65.18,65.18,65.14,65.14,65.14,65.11,65.11,65.14,65.04,65.11,65.04,65.04,65.04,65.04,65.04,65.07,65.07,65.07,65.09,65.06,65.05,65.06,65.05,64.88,64.83,64.83,64.88
